id	hash	time	median_time	size	stripped_size	weight	version	version_hex	version_bits	merkle_root	nonce	bits	difficulty	chainwork	coinbase_data_hex	transaction_count	witness_count	input_count	output_count	input_total	input_total_usd	output_total	output_total_usd	fee_total	fee_total_usd	fee_per_kb	fee_per_kb_usd	fee_per_kwu	fee_per_kwu_usd	cdd_total	generation	generation_usd	reward	reward_usd	guessed_miner
837743	000000000000000000004ba1bfddeadf13304297a6e9ecee78cf04100d500247	2024-04-05 00:58:51	2024-04-04 23:26:35	1463172	843239	3992889	671088644	28000004	101000000000000000000000000100	132a776baaf827bda19a8c8045a523fbeea03ad21d85e08ab4fd8cac587626c3	2808305347	386097875	83126997340025	00000000000000000000000000000000000000007291b502ef518cd11f5f97a0	036fc80c04cb4c0f662f53424943727970746f2e636f6d20506f6f6c2f05708650ae87cf0000000000	2445	2127	6372	12739	3822564767405	2622852864	3823189767405	2623281664	28198333	19348.2871	19275.863	13.2262	7063.992	4.847	76512.634270477	625000000	428843.75	653198333	448192.0312	SBICrypto
837744	000000000000000000014760bc792918dfc033fa2020efcfbea774cc51323ac4	2024-04-05 01:16:04	2024-04-04 23:44:00	1592114	801857	3997685	715628544	2aa7a000	101010101001111010000000000000	4b6e7cf7699089305a4954e62c26f9068ee028495a5865958f4acfa8d666e5d2	2947075460	386097875	83126997340025	00000000000000000000000000000000000000007292009dbe122b0a598f32c0	0370c80c2cfabe6d6d0a2cfb20eb5b569bd6d882f64067234c54279fd789f1c2f7049067111196a4c810000000f09f909f092f4632506f6f6c2f660000000000000000000000000000000000000000000000000000000000000000000000050000000303	3333	3149	7130	12034	859255985652	589578496	859880985652	590007360	20301071	13929.5801	12755.351	8.7518	5080.82	3.4863	32699.705584897	625000000	428843.75	645301071	442773.3438	F2Pool
837745	0000000000000000000361e6a6b4833180ff699a16871bd610c15203a089a8d4	2024-04-05 01:20:31	2024-04-04 23:50:57	1593609	799893	3993288	603979776	24000000	100100000000000000000000000000	0c01e5ee5cd181018c03a4f9bdfca9e4c9b6f372eddb2d73bd048fa1937ac369	3034915531	386097875	83126997340025	000000000000000000000000000000000000000072924c388cd2c94393becde0	0371c80c184d696e656420627920536563506f6f6c54002002204d641cfabe6d6d185a98989d43677c7050d1a2d35dbb96878d0c3e41a7e57e2e285d9970b0b7611000000000000000ab010000d05e3700	3142	2944	7639	8981	2272325441172	1559156096	2272950441172	1559584896	15846900	10873.3506	9946.617	6.8251	3969.9229	2.724	176253.0469299	625000000	428843.75	640846900	439717.0938	Unknown
837746	00000000000000000000e8a3a63ec54b69891a4a283d80358af8d89b0b0b3200	2024-04-05 01:51:55	2024-04-04 23:57:37	1535174	819300	3993074	536879104	20002000	100000000000000010000000000000	dbcc075593117a3b9d8f66e03da9e3ba73fdf1340f6a11cef62444d94bb5a914	20366377	386097875	83126997340025	0000000000000000000000000000000000000000729297d35b93677ccdee6900	0372c80c043b590f662f466f756e6472792055534120506f6f6c202364726f70676f6c642f2209089e13000000bd5b3301	2947	2721	6795	12469	706864616312	485015168	707489616312	485444000	23278215	15972.3477	15166.176	10.4062	5831.225	4.0009	19574.394436514	625000000	428843.75	648278215	444816.0938	Foundry USA Pool
837747	000000000000000000031a9130129feb3e81f60bb97d3b0afd84ea83cb7bef6f	2024-04-05 02:09:28	2024-04-04 23:57:50	1618940	791301	3992843	536887296	20004000	100000000000000100000000000000	2593030fb3f31db6ceff310ec40ac5128d420a2254b61f6013c407c039818759	123160147	386097875	83126997340025	00000000000000000000000000000000000000007292e36e2a5405b6081e0420	0373c80c04585d0f662f466f756e6472792055534120506f6f6c202364726f70676f6c642f13f7dbc78e59a80000000000	3380	3171	7209	11775	747130123433	512643328	747755123433	513072192	18528335	12713.2168	11446.832	7.8544	4641.642	3.1851	25105.977467498	625000000	428843.75	643528335	441556.9688	Foundry USA Pool
837748	000000000000000000019c9e56a215ddc9163f65211dbd862b1ad615abb98400	2024-04-05 02:10:34	2024-04-05 00:58:51	1875766	707417	3998017	551550976	20e00000	100000111000000000000000000000	39df8061f5a212bd41f64dcdd74e6681d373613511c82c90c2c39320601329b1	4255720508	386097875	83126997340025	000000000000000000000000000000000000000072932f08f914a3ef424d9f40	0374c80c2cfabe6d6d3930efa51095a586cec3edc600eb37b02c5815854aff17504e25a1cfd26ab87c10000000f09f909f092f4632506f6f6c2f620000000000000000000000000000000000000000000000000000000000000000000000050046a20100	2034	1921	8383	7363	766474055614	525916160	767099055614	526345024	12020049	8247.5566	6409.924	4.3982	3008.0496	2.0639	12067.551864143	625000000	428843.75	637020049	437091.3125	F2Pool
837749	0000000000000000000041370d27739c15dca40068aa3fca6784146afa06f325	2024-04-05 02:22:59	2024-04-05 01:16:04	1773646	741437	3997957	1073733632	3fffe000	111111111111111110000000000000	eec614cd8d40e965bdb4e787775df7ccc0935b356ab84e7259c4de730ff80e56	2239254900	386097875	83126997340025	000000000000000000000000000000000000000072937aa3c7d542287c7d3a60	0375c80c2cfabe6d6df01c9ca2a16f86b1c5201f06228cb5385e8b996c010f2be58555efbf0f2c5db110000000f09f909f092f4632506f6f6c2f6b000000000000000000000000000000000000000000000000000000000000000000000005007267bb9f	2361	2215	8335	8812	480727160423	329850944	481352160423	330279776	14179695	9729.3975	7997.098	5.4871	3548.56	2.4351	7748.7016225315	625000000	428843.75	639179695	438573.1562	F2Pool
837750	00000000000000000002f0d87fdeac5e9feb57df2b5f83e9e9aeae98c46d0441	2024-04-05 02:37:43	2024-04-05 01:20:31	1586001	802449	3993348	1073676288	3fff0000	111111111111110000000000000000	e035c2406be7581de925f88be4c409b6116c506855e5f65266ad9a7f1a8d1ae9	235916795	386097875	83126997340025	00000000000000000000000000000000000000007293c63e9695e061b6acd580	0376c80c182f5669614254432f4d696e6564206279207370777777312f2cfabe6d6d89d595768db61f7e052258145534426d9c69a12ac0804eab7a4fcfbee6d9dfe6100000000000000010adb4f7011a87169afa3967bc7e6e000000000000	2282	2125	7704	8078	1192708040235	818376640	1193333040235	818805440	15181380	10416.7041	9574.516	6.5699	3803.0806	2.6094	46260.161517804	625000000	428843.75	640181380	439260.4688	ViaBTC
837751	00000000000000000002ac85e6cb841c449b16bded697b8c9e191e17464eef09	2024-04-05 02:41:02	2024-04-05 01:51:55	1268660	908127	3993041	740089856	2c1ce000	101100000111001110000000000000	77705e99ac54f13ee8c85ded023c1d3dd2a7eaa41fca6daf62a0f8d1fec32b41	1184875090	386097875	83126997340025	0000000000000000000000000000000000000000729411d965567e9af0dc70a0	0377c80c04be640f662f466f756e6472792055534120506f6f6c202364726f70676f6c642f44d51a731c06000000000000	812	716	6516	4031	182874874484	125479592	183499874484	125908440	10534582	7228.3032	8305.652	5.6992	2638.9492	1.8107	33525.727158944	625000000	428843.75	635534582	436072.0625	Foundry USA Pool
837752	0000000000000000000244b20e453142a3d343fda271f8d0257d68bbdb1a81fc	2024-04-05 02:56:05	2024-04-05 02:09:28	1600347	797785	3993702	541065216	20400000	100000010000000000000000000000	3688265445a1260e853f9397f62ce360e1f4519f197e7324e6007d36b518e245	487753262	386097875	83126997340025	000000000000000000000000000000000000000072945d7434171cd42b0c0bc0	0378c80c142f756c74696d75732f373837cf003501427aee3cfabe6d6ddbfab8a7b11b9f8745ef707180664fb1e363de8ef463b3ad9a31415b12a2d52f100000000000000037be0000de08030000000000	2009	1878	7705	7013	1294265825147	888060480	1294890825147	888489344	14870489	10203.3857	9294.7705	6.3778	3725.1377	2.5559	19972.566776131	625000000	428843.75	639870489	439047.125	Unknown
